idn,bbg,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256
013003682,Abvz,Georg Hirth's Formenschatz,"eine Quelle der Belehrung und Anregung für Künstler und Gewerbetreibende, wie für alle Freunde stilvoller Schönheit, aus den Werken der besten Meister aller Zeiten und Völker",,,,,1147420319
013003682,Abvz,Georg Hirth's Formenschatz,"eine Quelle der Belehrung und Anregung für Künstler und Gewerbetreibende, wie für alle Freunde stilvoller Schönheit, aus den Werken der besten Meister aller Zeiten und Völker",,,,,1147420319
013032356,Abvz,Das @Pfennig-Magazin für Verbreitung gemeinnütziger Kenntnisse,,,,,1059633655,
013036726,Abvz,Sinica,Monatsschr. für Chinakunde u. Chinaforschung,,,,1013924673,
013037722,Abvz,Für aeltere Litteratur und neuere Lectüre,Quartal-Schrift,,,,024079618,
013042297,Abvz,Moderne Kunst,illustrierte Zeitschrift,,,,,1122755821
013052446,Abvz,Österreichische Buchhändler-Correspondenz,Eigenthum des Vereins der Österreichischen Buchhändler,,,,1064779549,
013052454,Abvz,Österreichisch-ungarische Buchhändler-Correspondenz,,,,,1064779549,
013052462,Abvz,Buchhändler-Correspondenz,Organ d. Vereines der Österreichisch-Ungarischen Buchhändler,,,,1064779549,
013052470,Abvz,"Anzeiger für den Buch-, Kunst- und Musikalienhandel","Mitteilungsblatt des kommissarischen Leiters des österreichischen Buch-, Kunst- und Musikalienhandels",,,,1064779549,
013061194,Abvz,Allgemeine Bibliographie für Deutschland,,,,,1059634325,
013231561,Abvz,Bibliographisches Centralorgan des oesterreichischen Kaiserstaates,im hohen Auftrage des Kais. Ministeriums des Innern,,,,1059637324,
013254367,Abvz,Katalog,,,,,,1213371708
013258036,Abvz,"Deutsches Reichs-Adressbuch für Industrie, Gewerbe und Handel",,,,,989372685,1129389391
013258036,Abvz,"Deutsches Reichs-Adressbuch für Industrie, Gewerbe und Handel",,,,,1000986470,1129389391
013302698,Abvz,Katalog der Bibliothek des Reichstages,,,,,,1255223766
013465600,Abvz,"Der @Hinkende und Stolpernde doch eilfertig fliegend und laufende Bote, Evangelisch verbesserter und Katholisch neuer, Europäisch allgemeiner Staats-Kriegs-Siegs-Geschichts-Kalender auf das Jahr …",,,,,,1090933886
013509535,Abvz,Adressbuch der Adressbücher,"e. Übersicht über Fach-, Stadt- u. Länder-Adressbücher d. Welt",,,,,1264094426
013617478,Abvz,The @Keepsake,,,,,1046540610,
013909363,Abvz,Buchjournal,das Beste aus der Welt der Bücher,,,,021604142,
014043009,Abvz,"Halbjahrsverzeichnis der im deutschen Buchhandel erschienenen Bücher, Zeitschriften und Landkarten","Voranzeigen von Neuigkeiten, Verlags- u. Preisänderungen",,,,010014357,
014172607,Abvz,Bollettino delle opere moderne straniere,acquistate dalle biblioteche pubbliche statali  italiane,,,,995640106,
014442914,Abvz,Građa za proučavanje spomenika kulture Vojvodine,,,,,1232026379,
014453495,Abvz,Münchener Bilderbogen,,,,,014453509,1152217372
014453495,Abvz,Münchener Bilderbogen,,,,,020258194,1152217372
014656027,Abvz,Zeitschrift des Vereins für Deutsche Statistik,,,,,1046049208,
015227146,Abvz,Zuwachsverzeichniss der Stadt-Bibliothek zu Mainz in den Jahren ...,,,,,,121591167X
015260828,Abvz,"Adressbuch von Frankfurt am Main mit Bockenheim, Bornheim, Oberrad und Niederrad",,,,,,117657969X
015335631,Abvz,Dialog mit Bibliotheken,,,,,993807593,
015339661,Abvz,Publishers' international ISBN directory,,,,,1004043643,
01549571X,Abvz,Antiquarischer Katalog von Heinrich Kerler,,,,,1018530711,
01608134X,Abvz,Deutschsprachige Verlage,"Deutschland, Österreich, Schweiz ; sowie Anschriften weiterer ausländischer Verlage mit deutschen Auslieferungen",,,,019885490,
016178505,Abvz,"Liste der fachlichen Nachschlagewerke zu den Normdateien (GKD, PND, SWD)",,,,,026430878,
016377621,Abvz,Stamm,Nachweis und Beschreibung periodischer Druckschriften sowie aller Werbemöglichkeiten in Deutschland und der wichtigsten im Ausland,,,,018800394,
016436997,Abvz,Verzeichnis,,,,,1032767936,
016664671,Abvz,Mitteilungen,,,,,020916450,
017080932,Abvz,Katalog,,,,,,1249359260
017648467,Abvz,"Archive in Deutschland, Österreich und der Schweiz",Adressenverzeichnis,,,,021222614,
017648467,Abvz,"Archive in Deutschland, Österreich und der Schweiz",Adressenverzeichnis,,,,1140174932,
017940567,Abvz,Revue de la Bibliothèque Nationale de France,,,,,1012123014,
017993636,Abvz,Museum aktuell,die aktuelle Fachzeitschrift für die gesamte deutschsprachige Museumswelt,,,,1042618690,
018022618,Abvz,Perspektive,Hefte für zeitgenössische Literatur,,,,023340118,
018153356,Abvz,"Handbuch der Bibliotheken Deutschland, Österreich, Schweiz",,,,,1008648116,
019279949,Abvz,BIT online,"Bibliothek, Information, Technologie",,,,021489815,
020478526,Abvz,Paper history,journal of the International Association of Paper Historians,,,,1064906893,
020972563,Abvz,Britannica book of the year,,,,,016770536,
023478020,Abvz,Journal,,,,,02401561X,
024179426,Abvz,Börsenblatt,,,,,021603596,
024824119,Abvz,Quart-Heft für Kultur Tirol,Kulturzeitschrift des Landes Tirol,,,,1016803850,
977217949,Abvz,Icon news,the magazine of the Institute of Conservation,,,,1019460717,
992174023,Abvz,Wissenschaftliches Jahrbuch der Tiroler Landesmuseen,,,,,1250178312,
101905655X,Abvz,Augusta,Wolfenbütteler Bibliotheks-Informationen,,,,1033293687,
1064781187,Qd,"[Bibel, Handschrift und angebundene Inkunabel]",,,,,,1142397084
1142401294,Pa,Lederschnitteinband für eine Mentelinbibel mit vorgebundener Handschrift,"Holzdeckel aus Buchenholz, überzogen mit braunem Rindsleder, mit Lederschnitt verziert, Franken (Nürnberg?), um 1470",,,,1142397084,
