idn,bbg,tit_a,tit_d,tit_Y,umfang,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,011992050,1093416165,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,012114278,1093416165,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,012112062,1093416165,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,012112054,1093416165,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,012112046,1093416165,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,019346891,1093416165,,,
01072849X,Abvz,Des @Lahrer hinkenden Boten neuer historischer Kalender für den Bürger und Landmann,auf das Jahr ..,,,,,013653830,1093416165,,,
010730397,Abvz,Der @Autographensammler,"eine monatlich erscheinende Katalogfolge des Hauses J.A. Stargardt, Antiquariat",,,,,,,,,
010730419,Abvz,Katalog,,,,,,1007836164,,,,
010733361,Abvz,Bollettino dell'Istituto di Patologia del Libro Alfonso Gallo,,,,,,,,,,
010743340,Abvz,Deutsche Musikbibliographie,,,,,,011136057,,,,
010743340,Abvz,Deutsche Musikbibliographie,,,,,,010097813,,,,
010743340,Abvz,Deutsche Musikbibliographie,,,,,,976851474,,,,
010745327,Abvz,Bibliographie illustrierte Bücher der Deutschen Demokratischen Republik,,,,,,1007743026,,,,
010746706,Abvz,Internationales Verlagsadreßbuch,,,,,,016434366,,,,
010752471,Abvz,Ver sacrum,Mittheilungen der Vereinigung Bildender Künstler Österreichs,,,,,1007324384,,,,
010753036,Abvz,Wolfenbütteler Bibliotheks-Informationen,,,,,,025635220,,,,
010753230,Abvz,Marsyas,eine Zweimonatsschrift,,,,,997637579,,,,
010755608,Abvz,Jahresprogramm,,,,,,,,101905655X,,
010756906,Advz,Mémoires couronnés et mémoires des savants étrangers,,,,,,1059507080,,,,
01076819X,Abvz,Magyar könyvészet,a Magyarországon megjelent könyvek bibliográfiája,,,,,022183671,,014095556,,
01077632X,Abvz,Deutscher Literaturkatalog,,,,,,,,,,
01080997X,Abvz,Fotogeschichte,Beiträge zur Geschichte und Ästhetik der Fotografie,,,,,023363207,,,,
010812059,Abvz,IPH yearbook,yearbook of paper history,,,,,,,,,
010840699,Abvz,Stamm,"Leitfaden durch Presse und Werbung ; Verzeichnis und Beschreibung periodischer Publikationen, Rundfunkanstalten und Werbemöglichkeiten in Deutschland",,,,,018800394,,,,
010841385,Abvz,Teuerdank,Fahrten u. Träume dt. Maler ; zwanglose Bilderfolgen lebender Künstler,,,,,,1173928111,,,
010861645,Abvz,Publishers' international directory with ISBN index,,,,,,,,,,
01088162X,Abvz,"Internationale Bibliographie der Antiquariats-, Auktions- und Kunst-Kataloge",IBAK,,,,,,,,,
011028998,Abvz,Buchhandelsgeschichte,"Aufsätze, Rezensionen und Berichte zur Geschichte des Buchwesens",,,,,,,010698698,,
011028998,Abvz,Buchhandelsgeschichte,"Aufsätze, Rezensionen und Berichte zur Geschichte des Buchwesens",,,,,,,011741031,,
011031174,Abvz,Revue française d'histoire du livre,,,,,,,,,,
011040696,Abvz,International yearbook of cartography,,,,,,,,,,
011135921,Abvz,Zeitschrift des Deutschen Vereins für Kunstwissenschaft,,,,,,,,,,
011138300,Abvz,Yearbook of labour statistics,,,,,,025809326,,,1156469481,Qd
011138300,Abvz,Yearbook of labour statistics,,,,,,1027735711,,,1156469481,Qd
011141840,Abvz,Die @neue Zeit,Wochenschrift der Deutschen Sozialdemokratie,,,,,100443801X,,,,
011141840,Abvz,Die @neue Zeit,Wochenschrift der Deutschen Sozialdemokratie,,,,,025987968,,,,
