idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1002803896,Aal,1797,"Verzeichniß einer beträchtlichen Büchersammlung aus mehreren Wissenschaften, besonders aber aus der Mathematik, Naturlehre, Naturgeschichte, Arzneygelahrtheit, Staatswissenschaft u. Oekonomie, welche zu Wittenberg, montags, d. 5. März 1798 u. f. T. ... verauctioniret werden soll",,,,,,,,,
1002835364,Aal,1816,"Verzeichniß einer beträchtlichen Sammlung gebundener Bücher aus verschiedenen wissenschaftlichen Fächern, worunter sich vorzügliche alte Drucke, seltene Manuscripte ... aus zeichnen, welche vom Anfange März 1817. u. v. folgenden Tagen zu Nürnberg an die Meistbietenden verkauft werden sollen",,,,,,,,,
1002836123,Aal,1813,"Verzeichnis einer interessanten Sammlung gebundener mitunter seltener Bücher aus verschiedenen Wissenschaften, welche [im Octr. 1814] ... verkauft werden",,,,,,,,,
1002847052,Aal,1817,"Verzeichniß derjenigen Schriften und Werke aus allen Wissenschaften, auch Landkarten, die sich in der Bibliothek der Oberl. Gesellschaft der Wissenschaften doppelt und mehrfach befinden, welche den 1. September d. J. u. folgende Tage ... den Meistbietenden überlassen werden sollen",nebst e. doppelten Anh. med. u. anderer Schriften,,,,,,,,
100289672X,Aal,1755,Selbstlehrende Canzley̋mäßige|| Dreßdnische|| Schreibe=Schule||,,,,,,,,,
1002918693,Aal,1684,Le @dix livre dʹarchitecture de Vitruve,,,,,,,,,
1002952018,Aal,1738,Johannis Vogt Catalogus historico-criticus librorum rariorum sive ad scripta huius argumenti spicilegium index et accessiones,,,,,,,,,
1002953049,Aal,1753,"Johannis Vogt Catalogus historico-criticus librorum rariorum, jam curis quartis recognitus et copiosa accessione ex symbolis et collatione bibliophilorum per Germaniam doctissimorum adauctus",,,,,,,,,
1003036864,Aal,1810,Anleitung zur Landschaft-Zeichnung in Handzeichnungs-Manier,,,,,,,,,
1003036929,Aal,1816,Anleitung zur Landschaft-Zeichnung in Handzeichnungs-Manier,,,,,,,,,
1003060749,Afl,1788,Panzer,Georg Wolfgang,Georg Wolfgang Panzers Annalen der ältesten deutschen Literatur oder,1.,bis 1520,,,,,
100307636X,Aal,1812,Schriftproben,,,,,,,,,
1003077048,Aal,1823,[Plakatförmige Druckschriftenproben mit 4 Kolumnen,"Fraktur, Antiqua, Kursiv verschiedener Grade ; mit vermutlich originaler Bleistift-Unterschrift]",,,,,,,,
1003077293,Aal,1828,[Schriftproben],,,,,,,,,
1003119077,Aal,1826,"Wanderbuch für den Papiermachergesellen Johann Gotthilf Flechsig aus Stangengrün, [betr. 1836 - 1843]",Nach Vorschr. d. Königl. Sächs. Mandate vom 7. Dec. 1810 ... u. 26. Sept. 1826,,,,,,,,
1003119409,Aal,1810,Wanderbuch für den Papiermachergesellen Friedrich Ernst Lang,,,,,,,,,
1003119492,Aal,1810,"Wanderbuch für Karl Gottlob Michaelis, [betr. 1825 - 1834]",,,,,,,,,
1003119581,Aal,1826,"Wanderbuch für den Papiermacher Carl Gottlob Müller, [betr. 1857 - 1861]",,,,,,,,,
1003119654,Aal,1810,"Wanderbuch für [Joh[ann] Sigm[und] Pfau], [betr. 1823 - 1825]",,,,,,,,,
1003119751,Aal,1810,"Wanderbuch für Christian Gotthelf Scheffel, Papiermachergeselle, [betr. 1821 - 1833]",,,,,,,,,
