idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g
1196910928,Ha,14XX,Das @buch sagt von den Zehen gebothen gottes,,,,,,,,,
1196911185,Ha,14XX,Marienleben,[Fragmente],,,,,,,,
1196912319,Ha,1662,"Doktorurkunde von Horatius Monaldus, lateinisch",,,,,,,,,
1197089462,Ha,17XX,Gebetbuch,[italienische Handschrift],,,,,,,,
1197090231,Ha,1580,Gebetbuch in Nashki-Schrift in persischem Ledereinband mit Vergoldung,,,,,,,,,
1197091742,Ha,13XX,"Dreiteiliger runder Eichenholzbehälter mit drei Handschriftenrollen, lateinisch, kyrillisch und kursiv-glagolitische Schrift",,,,,,,,,
1197092382,Ha,14XX,Neues Testament,"armenische Handschrift, Corvine",,,,,,,,
1200975324,Ha,1529,"Epistola Guilielmi Budaei in Curia Lutetiana supplicum libellorus Magistri, Graeca, quam suis tralata linguae Graecae commentarijs a Petro Danesio Parisiensi",,,,,,,,,
1206375310,Hal,1808,[Qurʾān],[arabische Papierhandschrift],,,,,,,,
1250263166,Ha,1781,"Wohleingerichtetes Koch-Buch, welches bestehet in Koch- u. Backwerk, wie auch der besten Brandtewein, u. Liquers, sowohl abgezogen, als viltriert, angesetzt, und distilirt, zu bereiten","Auch alle Sortiment, von div. Schnupf-Taback, zu fabricirend, pp.: pp: ; Dabey: Ein Anfang, von ... Recept, welche auf daß fleißigste zusammen getragen",,,,,,,,
