idn,bbg,jahr,tit_a,tit_d,tit_Y,stuecktitel_l,stuecktitel_a,f4243,f4256,f4241,f4105_9,f4105_g,4201
1000444163,Aal,1736,XV Discours sur les Métamorphoses dʹOvide contenans lʹexplication morale des fables,,,,,,,,,,"in: Ovidius Naso, Publius: Les Métamorphoses [Metamorphoses, franz.] Paris 1737"
1000479870,Aal,1970,Da @fabrica que falece ha cidade de Lysboa,,,,,,,,,,"in: Segurado, Jorge: Francisco dʹOllanda"
1000483533,Aal,1860,Brief an Johann Birckmann,1563,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1000484068,Aal,1860,Briefe von und an Wolfgang Hopyl,1505,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1000489035,Aal,1513," [Johannis Geileris Cesaremontani, primi concianotoris in ede sacre maioris ecclesie Argentoratensis, vita]",Compendiosa vite eiusdem descriptio,,,,,,,,,"in: Geiler von Kaisersberg, Johann: Navicula sive speculum fatuorum"
1000495981,Aal,1849,"Höchst wahrhaftige, anfangs zuckersüße, am Ende aber tragisch-scheußliche Geschichte zweier Liebenden, Eduard und Kunigunde geheißen; ... fürgestellet u. m. Bildern verzieret durch Jodocus Buchsbaumer",,,,,,,,,,in: Musenklänge aus Deutschlands Leierkasten. 1849
1000512398,Aal,1970,"Archaeological Investigations of the National Historic Sites Service, 1962 - 1966",,,,,,,,,,"in: Sites, Canadian historic"
1000527204,Aal,1775,"Wie vielerley Arten von Insekten giebt es, die den Urkunden und Büchern in Archiven und Bibliotheken schädlich sind? ...",,,,,,,,,,"in: Drey Preisschriften zu Beantwortung der von der Königlichen Societät die, den Wissenschaften zu Göttingen aufgegebenen Preisfrage die den Urkunden und Büchern in Archiven und Bibliotheken schädlichen Insekten betreffend"
1000527549,Aal,1619,Oratio de republica,graeca ac Lat.,,,,,,,,,"in: Orationes politicae Dinarchi, Lycurgi, Lesbonactis, Herodis, Demadis"
1000527646,Aal,1860,A @History of the art of paper making,,,,,,,,,,"in: Herring: A practical Guide to the varieties and relative values of paper, ..."
1000527794,Aal,1757,"Johann Christian Herrlichs, ... Kurtz zusammen gezogene sowohl Heilige Geographie, nach Anleitung der heiligen Schrift alten und neuen Testamente, als auch: Heilige Chronologie, nach den vier heiligen Evangelisten, ...",,,,,,,,,,"in: Bünting, Heinrich: Itinerarium sacrae scripturae ... Erfurt 1757. 8°"
1000527956,Aal,1757,"Kurtz zusammen gezogene sowohl Heilige Geographie, nach Anleitung der hl. Schrift alten und neuen Testaments, als auch","Heilige Chronologie, nach den 4 hl. Evangelisten, Apostel-Geschichten St. Lucae, u. Jahrhunderten der Kirchen-Historie neuen Testaments ... abgefasset",,,,,,,,,"in: Buenting, Heinrich: Itinerarium sacrae scripturae. 3. Aufl. Erfurt 1757"
1000528251,Aal,1931,Der @Heliand,ein Sachsensang von Christi Leben u. Leiden aus d. 9. Jahrhundert,,,,,,,,,in: Furche-Almanach. 1931
1000538443,Aal,1864,Gravure criblée,Sainte Barbe ; Impressions négatives ; Sainte Dorothée ; Saint Bénoit,,,,,,,,,in: Documents iconographiques et typographiques de la Bibliothèque Royale de Belgique. Sér. 1
100054916X,Aal,1886,Depositio Cornuti Typographici,,,,,,,,,,"in: Gaedertz, Karl Theodor: Gebrűder Stern und Ristens Depositivusspiel. Lűneburg 1886"
1000549291,Aal,1714,Depositio cornuti typographici ...,,,,,,,,,,"in: Tscherning, J. N. : Neu-verbessertes Format-Buch. Lübeck, Leipzig 1724"
1000549437,Aal,1677,Depositio cornuti typographici ...,,,,,,,,,,"in: Vietor, Johann Ludwig: Neu-auffgesetztes Format-Büchlein ... Frankfurt a. M. 1679"
1000615898,Aal,1874,Appendice,1. Alphabet Égyptien ; 2. De lʹalphabet Tamil ou Tamoul,,,,,,,,,"in: Schoebel, C.: Mémoire sur les origines de lʹécriture alphabétique"
1000618137,Aal,1907,Die @Nicolaische Buchhandlung,,,,,,,,,,in: Nicolaische Buchhandlung Borstell & Reimarus. Hauptverzeichnis von Fritz Borstells Lesezirkel. 1907
1000621219,Aal,1893,"C. G. Röder, engraver and printer of music, Leipsic",,,,,,,,,,in: Röder: Proben der Officin von C. G. Röder
1000639037,Aal,1835,Jahrbuch zur Belehrung und Unterhaltung für jedermann als Anhang zum Kalender auf das Schaltjahr 1836,nebst 7 Abb.,,,,,,,,,in: Regenten-Kalender auf das Jahr 1836
1000639150,Aal,1844,Jahrbuch zur Belehrung und Unterhaltung für jedermann als Anhang zum Kalender auf das Jahr 1845,nebst 6 Abb.,,,,,,,,,in: Dampf-Kalender auf das Jahr 1845
1000648133,Aal,1967,The @Rise of American edition binding,,,,,,,,,,in: Bookbinding in America
1000657434,Aal,1866,Cartes,die Eroberung v. Mexico ; nach d. besten Quellen d. Jugend erzählt,,,,,,,,,"in: Hoffmann, Friedrich: Columbus"
1000658651,Aal,1838,Ein @Trauerspiel in Berlin,Bürgerl. Drama in 3 Akten,,,,,,,,,in: Almanach für Freunde der Schauspielkunst auf das Jahr 1837. 1838
1000661032,Aal,1964,Arte di legare i libri,"estratti dal libro V del manoscritto, conservato a Parigi nella Bibliothèque de lʹInstitut de France coll. ; manuscrit 2741, dal titolo ; des arts de construire les caractéres, de graver les poinçons des lettres, de fondre les lettres, dʹimprimer les lettres et de relier les livres, 1704",,,,,,,,,"in: Dudin, René Martin: Arte del legatore e doratore di libri [Lʹart du relieur-doreur de livres, ital.]"
1000714209,Aal,1841,Zur Geschichte der Buchdruckerkunst und der Zeitungspresse in Zürich,,,,,,,,,,in: Neujahrsblatt hrsg. v. d. Stadtbibliothek in Zürich. - In verziert Brosch. Umschlag
1000714918,Aal,1904,"Menschen, Thiere und Goethe",,,,,,,,,,in: Rheinischer Most
1000714977,Aal,1964,French Type Specimen Books,,,,,,,,,,"in: Audin, Marius: Les Livrets typographiques des fonderies françaises créées avant 1800. Suppl."
1000715043,Aal,1900,A @little Journey to the home of Whitman,,,,,,,,,,"in: Stevenson, Robert Luis: The essay on Walt Whitmann"
1000725057,Aal,1893,Information for pilgrims unto the Holy Land,,,,,,,,,,"in: Duff, Gordon E.: Information for pilgrims unto the Holy Land"
1000730395,Aal,1578,Contra Manichaeos dialogus [griech. u. lat.],,,,,,,,,,in: Manuel I. Comnenos: Legatio ad Armenios
1000730603,Aal,1551,[Commentarius in Meteoro Aristotelis],Scholia in I. Meteorum Aristotelis,,,,,,,,,in: Olympiodorus philosophus: In Meteora Aristotelis commentarii
1000736210,Aal,1887,"Zur Bibliographie des Henricus Hembuche de Hassia, dictus de Langenstein",,,,,,,,,,"in: Brambach, Wilhelm: Die Reichenauer Sängerschule"
100073675X,Aal,1963,A @Catalogue and specimen of the typefoundry of John James,,,,,,,,,,"in: Mores, Edward Rowe: A Dissertation upon English typographical founders and founderies. 1778. [Neudr.]"
100077127X,Aal,1956,"Afhandling om de Norske Finners og Lappers Hedenske Religion, med en Tegning af en Rune-Bomme",,,,,,,,,,"in: Leem, Knud: Beskrivelse over Finmarks Lapper. Kiøbenhavn 1767. Facs. Oslo 1956. 8°"
100077130X,Aal,1534,Gabriae Graeci Fabellae tres & guadraginta,,,,,,,,,,"in: Aesopus: Fabellae [Fabulae, griech. u. lat.]"
1000776999,Aal,1609,"Excerpta ex indice librorum expurgatorum, Gasparis Quiropa iussu editus",,,,,,,,,,"in: Index expurgatorius librorum qui hoc saeculo prodierunt ... [Straßburger Nachdr. d. Antwerpener Index expurg. v. 1571], S. 165 - 449. - [Ausz.]"
1000777219,Aal,1577,"Index|| Librorvm|| Prohibitorvm, Cvm|| Regvlis Confectis Per|| Patres à Tridentina Synodo dele||ctos, auctoritate Sanctiss. D.|| N. Pij III. Pont.|| Max. compro||batus||",,,,,,,,,,in: Canones et Decreta ... Concilii Tridentini. Köln 1577
1000777650,Aal,1588,"Index|| librorvm prohibitorum,|| ad Romanvm no vissimum exemplar redactus||",cum Regulis|| confectis per Patres à Tridenti||na Synodo delectos ...,,,,,,,,,in: Concilium Tridentinum ... Venetiis 1588
1000777847,Aal,1611,"Index librorum prohibitorum, auctoritate Pii IV. primum editus","postea vero a Sixto V. auctus et nunc demum Clementis Papae VIII. recognitus et publicatus ; additis regulis, ac exequenda prohibitionis ratione",,,,,,,,,"in: Indices expurgatorii duo, testes fraudum ac falsationum pontificiarum ... Hanau 1611"
1000786730,Aal,1929,"Die @Papiernmühle in Carben, Kreis Heiligenbeil",,,,,,,,,,"in: Heimatkalender, Natanger, für das Jahr 1929. S. 58 - 64 mit 2 Abb. 8"
1000789934,Aal,1902,Letterproef,"Ipenbuur & van Seldam, boek-en kunstdrukkerij",,,,,,,,,"in: Enschedé, J. W.: De Boekletter in Nederland"
1000790916,Aal,1933,25 Jahre J. C. Müller,,,,,,,,,,"in: Müller, J. C., 1908 - 1933. 1933"
1000791769,Aal,1973,William Edwin Rudge,a brief account of his life and work together with some notes on his influence on American printing,,,,,,,,,"in: PM. Vol. 3. 1973. No. 6, S. 1 - 34"
1000791939,Aal,1619,Orationes,,,,,,,,,,in: Antiphon Orator: Orationes
1000791998,Aal,1860,Brief an Franciscus Cicerinus,,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1000792471,Aal,1750,Orationes tres,,,,,,,,,,[Ausz.]
1000792471,Aal,1750,Orationes tres,,,,,,,,,,"in: Plutarchus: De puerorum educatione [Moralia, Ausz., griech.]"
1000793176,Aal,1702,Orationes,,,,,,,,,,"in: Wilhelmi, Johann Gerlach: Fasciculus Graecus"
1000797813,Aal,1864,La @Vierge de 1418,,,,,,,,,,in: Documents iconographiques et typographiques de la Bibliothèque Royale de Belgique. Sér. 1
100079900X,Aal,1664,Index librorum prohibitorum,"cum regulis confectis per Patres à Trid. Synodo delectos ; auctoritate Pii IV. primum editus ... et nunc demum S. D. N. Clementis Papae VIII. iussu recognitus, et publicatus",,,,,,,,,in: Canones et decreta sacrosancti Concilii Tridentini ... Venetiis 1664
1000799069,Aal,1733,Index librorum prohibitorum,cum regulis confectis per Patres à Trid. Synodo delectos : auctoritate Pii IV. primum editus ...,,,,,,,,,"in: Canones, Sacrosancti Concilii Tridentini, et decreta. Bassano 1733"
100079928X,Aal,1586,Indice des livres prohibez ...,,,,,,,,,,"in: Le Saint Concile Universel Sacré et général, de Trente [Concilium Tridentinum, franz.]"
1000799360,Aal,1770,Instruction raisonnée sur le papier nouveau que le sieur Desnos annonce au public ...,,,,,,,,,,"in: Dissertation historique sur lʹinvention des lettres, ou caractères dʹécriture. 1771"
1000800261,Aal,1822,Elogium Tiberii Hemsterhusii,cui duae Bentleii epistolae ad Hemsterhusium acc.,,,,,,,,,in: Vitae duumvirorum Tiberii Hemsterhusii et Davidis Ruhnkenii
1000813479,Aal,1926,Der @neue Schreibunterricht nach Sütterlin,,,,,,,,,,in: Ashelm Ferd. Der neue Schreibunterricht
1000813916,Aal,1684,"Gothicum Glossarium, ... praemittuntur ei Gothicum, Runicum, Anglo-Saxonicum, aliáque alphabeta",,,,,,,,,,"in: Testamentum novum, Teilausg., got. u. angelsächs. - Versiones. - Quatuor Jesu Christi Evangeliorum versiones perantiquae duae, Gothica scil. et Anglo-Saxonica"
1000820084,Aal,1926,Bidrag till Kong[liga] Bibliothekets (!) historia under min tjenstetid,,,,,,,,,,"in: Handlingar, Kung[liga] Bibliotekets. 41"
1000820181,Aal,1914,Der @Gesetzentwurf zur Bekämpfung des Schmutzes in Wort und Bild,,,,,,,,,,"in: Zum gesetzklichen Kampf, gegen die Schundliteratur"
1000843246,Aal,1937,Das @Hohelied einer alten Druckerstadt [=Leipzig],,,,,,,,,,in: Meisterschueler-Kalender [8.] 1938
1000848760,Aal,1801,Karrikaturblätter,Angeblich ein Nachtrag zu G. C. Lichtenbergs Nachlaß ; Zweyter Band mit 13 illum. Karrikaturblättern,,,,,,,,,in: Almanach der Liebe auf 1801
1000850137,Aal,1614,Aurea Bulla Caroli IV Romanorum imperatoris et regis Bohemiae,,,,,,,,,,in: Privilegia der heiligen Reichstadt Frankfurt a.M.
1000850390,Aal,1614,Gulden Bulla Kaiser Caroli IV. im Jahre 1356 zu Nürnberg aufgericht,Nach d. lat. Text so viel möglich übersetzt,,,,,,,,,in: Privilegia der heiligen Reichsstadt Frankfurt a.M.
1000875520,Aal,1878,Ein @Ueberblick der photomechanischen Verfahren zur Zeit der Weltausstellung in Paris 1878,,,,,,,,,,in: Husnik: Die Heliographie ... 1878
1000915034,Aal,1956,Johann Heinrich Zedlerʹs Grosses Vollständiges Universallexikon,,,,,,,,,,"in: Langer, Gottfried: Fritz Juntke zu seinem 70. Geburtstag am 3. September 1956"
1000930831,Aal,1961,Huracán sobre el azúcar,,,,,,,,,,in: Sartre visita a Cuba
1000931005,Aal,1961,Ideologia y revolución,,,,,,,,,,in: Sartre visita a Cuba
1000931102,Aal,1907,Das @deutsche Zeitwort,Schema d. Konjugation u. Wörterbuch d. Zeitwörter,,,,,,,,,"in: Mohr, F. A.: Taschenwörterbuch d. dänischen u. deutschen Sprache"
1000934403,Aal,1940,Satzung der Deutschen Bücherei,,,,,,,,,,in: Gesetz über die Deutsche Bücherei
1000939197,Aal,1934,Satzung der Reichsschrifttumskammer,,,,,,,,,,in: Reichskulturkammergesetz
1000943399,Aal,1952,Books of the Renaissance,,,,,,,,,,in: William Pyle Philips Collection in the Haverford College Library. Haverford 1952. 8°
1000948544,Aal,1696,Chur-Pfaltz,Catechismus und Kirchengebete,,,,,,,,,"in: Die Davids Psalmen [Psalmi, dt.]"
1000948838,Aal,1928,Micellartheorie und Quellung der Zellulose,,,,,,,,,,"in: Hess, Kurt: Die Chemie der Zellulose und ihrer Begleiter. Leipzig 1928"
1000954560,Aal,1745,"Historia literario-typographica Mediolanensis, in qua de studiis literariis antiquis et novis in hac metropoli institutis, de tempore inductae Mediolanum typographiae et primis hujus artis opificibus ... disseritur","Adjecta sunt Appendix epistolarum, quae libris, tunc ibidem editis, affixae legebantur et Catalogus Codicum Mediolanae impressorum ab anno 1465 ad annum 1500",,,,,,,,,"in: Argellati, Filippo: Bibliotheca scriptorum Mediolanensium"
1000964531,Aal,1860,Brief an Sebastian Gryphius,1540,,,,,,,,,"in: [Briefwechsel zwischen Druckern, Buchhändlern und Gelehrten des 15. - 16. Jh.]"
1000972593,Aal,19XX,Die @alte rumänische Buchdruckerkunst,,,,,,,,,,"in: Bogeng, Gustav Adolf Erich u. Hermann Barge: Geschichte der Buchdruckerkunst. Bd. 2"
1000989372,Aal,1744,Epistolae,,,,,,,,,,"in: Burckhard, Jakob: Historia Bibliothecae Augustae ... Vol. 2"
1000998681,Aal,1896,Geschiedenis der nederlandsche dagbladpers tot 1813,,,,,,,,,,in: Sautijn-Kluit: Het Algemeen Handelsblad van 1828 tot 1865
1001015924,Aal,1827,"Kirchhoff & Wigand, Antiquariats-Buchhandlung, Leipzig, Gedruckte Geschäftsrundschreiben v. 25.4.1856 - 1.3.1869",,,,,,,,,,"in: Kirchhoff, Albrecht: Urkunden und Aktenstücke ... 1827 - 85"
1001021142,Aal,1926,Geschichtliche und bibliographische Untersuchungen,,,,,,,,,,in: Pestschriften. Die ersten gedruckten
1001033701,Aal,1726,Interpretatio Regulae S. Benedicti Theotisca,,,,,,,,,,"in: Schilter, Johannes: Thesaurus antiquitatum Teutonicarum ... T. 1. 1728"
1001033868,Aal,1970,A @Classification-System for glass Beads for the use of field archaeologists,,,,,,,,,,in: Canadian historic Sites
1001039866,Aal,1965,Illustrated printed Books,,,,,,,,,,in: Book-Illustration. - English Book - Illustration 966 - 1846
1001053265,Aal,1889,Werkstatts-Einrichtung Leipziger zünftiger Buchbindereien,,,,,,,,,,in: Zur Geschichte der Buchbindereien. 2
1001053370,Aal,1941,Der @Buchdruck in Rußland,,,,,,,,,,"in: Bogeng, Gustav Adolf Erich u. Hermann Barge: Geschichte der Buchdruckerkunst. Bd. 2. 1941"
1001055853,Aal,1912,Die @Lithographie,,,,,,,,,,"in: Die technischen Kurse, der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 3. - Verbess. Neudr. aus: Archiv für Buchgewerbe. 1908, H. 7"
1001062124,Aal,1757,"Wendelini Schemps, ... Erbauliche Historia der heiligen zwölf Apostel unsers Herrn Jesu Christi, wie auch des Apostels St. Pauli, und beyder heiligen Evangelisten St. Lucä und St. Marci, ... aus der Kirchen-Historie zusammengetragen ; ...",,,,,,,,,,"in: Bünting, Heinrich: Itinerarium sacrae scripturae. 3. Aufl. Erfurt 1757"
1001091183,Aal,1931,"Was war ehedem ""Zeitung""?",,,,,,,,,,in: Vom Fichtenstamm zum Zeitungsblatt
1001095588,Aal,1802,Die @Jungfrau von Orleans,eine romant. Tragödie,,,,,,,,,in: Kalender auf das Jahr 1802
1001101383,Aal,1883,Birgitta-Literatur,,,,,,,,,,in: Kungl. Bibliotekets Handlingar. 6
1001104765,Aal,1912,"Der @Stempelschnitt und Prägedruck als selbständiger Druck- und Prägeplatten - Erschaffer und als Helfer des Schriftgießers, Setzers und Buchbinders",,,,,,,,,,"in: Kurse, Die technischen, der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 7"
100113141X,Aal,1832,Versteigerungs-Katalog der von dem verstorbenen Herrn J. G. Schicht ... hinterlassenen Musikaliensammlung,,,,,,,,,,"in: Schlotheim, Ernst Friedrich von: Verzeichniß der hinterlassenen Büchersammlung des verstorbenen Hrn. E. F. von Schlotheim"
1001132246,Aal,1883,Praktische Winke für den Verkehr des Buchhändlers mit der Buchdruckerei,,,,,,,,,,"in: Klinkhardt: Proben-Album der Accidenz-, Buch- und Noten-Druckerei ..."
1001136187,Aal,1932,"Die @Zeitschriften mit Abonnenten-Versicherung, ihre volkswirtschaftliche Bedeutung u. ihre Stellung in der Rechtsprechung",,,,,,,,,,in: Zwei Vorträge
1001148150,Aal,1889,Die @Hofbuchbinderei in Heidelberg,,,,,,,,,,in: Zur Geschichte der Buchbindereien. 1
100114855X,Aal,1710,"[Historische Erzehlung von dem Hoch-Fürstl. Sächs berühmten Berg-Schloß und Festung Wartburg, ob Eisenach]",Beschreibung des Schloßes Wartburg ob Eisenach,,,,,,,,,in: Staat des Fürstenthums Eisenach
100114872X,Aal,1742,"Catalogus aliquot librorum, qui propriis sumtibus prodierunt ut et in copia habendi sunt apud Georgium Marcum Knoch, bibliopolam Dantiscanum",,,,,,,,,,"in: Załuski, Josef: Programma litterarium ad bibliophiles ..."
1001148878,Aal,1917,Aus der Papiermühle in der Dombach,ein Beitrag zur Geschichte bergischer Familien,,,,,,,,,"in: Monatsschrift des Bergischen Geschichtsvereins. 24(1917),1, S. 1-12"
1001150910,Aal,1727,Untersuchung von dem guten Geschmack in der Dicht- und Redekunst,,,,,,,,,,"in: Canitz, Friedrich Rudolf Ludwig: Gedichte"
1001163494,Aal,1794,"Joh[ann] Gottlob Immanuel Breitkopf, Buchdrucker und Buchhändler in Leipzig",Den 28. Jan.,,,,,,,,,"in: Schlichtegroll: Nekrolog auf das Jahr 1794. Jg. 5, Bd. 1. 1796"
100116475X,Aal,1793,Maria Luise Weidmann,[Nachricht über die von ihr hinterlassenen Legate],,,,,,,,,"in: Schlichtegroll: Nekrolog auf das Jahr 1793. Jg. 4, Bd 2. 1795"
1001173708,Aal,1912,Die @Radierung,,,,,,,,,,"in: Die technischen Kurse der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 4. - Verbess. Nachdr. aus: Archiv für Buchgewerbe. 1908, H. 9"
1001174402,Aal,1914,Literatur und Jugendgefährdung,,,,,,,,,,in: Zum gesetzlichen Kampf gegen die Schundliteratur
100117447X,Aal,1934,Körperschaftsteuergesetz vom 16. Okt. 1934,,,,,,,,,,in: Einkommensteuergesetz vom 16. Okt. 1934
1001174658,Aal,1956,Läsning - last eller dygd,,,,,,,,,,in: Last eller dygd
1001183177,Aal,1741,Jubel-Postulats-Prologus,,,,,,,,,,"in: Münden, Christian: Danck-Predigt, ..."
1001193350,Aal,1917,Gesamt-Verlagskatalog der Hahnschen Buchhandlung in Hannover und Leipzig,,,,,,,,,,"in: Thielen, Herbert von: 125 Jahre des Geschäftshauses Hahnsche Buchhandlung in Hannover"
1001195760,Aal,1930,Die @deutsche Graphik der Gegenwart,,,,,,,,,,in: Graphik-Katalog. Deutsche Buch- und Graphik-Ausstellung in Südamerika
1001211685,Aal,1909,Die @Entwicklung der sächsischen Kultur,,,,,,,,,,"in: Schmidt, Otto Eduard, u. Jean Louis Sponsel: Bilder-Atlas zur sächsischen Geschichte"
1001212282,Aal,1940,Des @Heiligen Jobs Bleyern Schreib-Täfflein,"zu Lob der edlen Drucker-Kunst, erkläret [... wowen vnd wer solche werthe Kunst erfunden]",,,,,,,,,"in: Hornschuch, Hieronymus. [Orthotypographia, dt.] 1634. [Faks.-]Neudr. Leipzig 1940"
1001212355,Aal,1634,Des @Heiligen Jobs Bleyern Schreib-Täfflein,"zu Lob der edlen Drucker-Kunst, erkläret [... wowen vnd wer solche werthe Kunst erfunden]",,,,,,,,,"in: Hornschuch, Hieronymus. [Orthotypographia, dt.] 1634"
1001212649,Aal,1744,"Des @heiligen Hiobs bleyernes Schreib-Täflein, zu Lob der edlen Buchdruckerkunst",,,,,,,,,,"in: Hornschuch, Hieronymus: [Orthotypographia, dt.] Neue verb. Aufl."
1001212916,Aal,1941,Die @bulgarische Buchdruckerkunst,,,,,,,,,,"in: Bogeng, Gustav Adolf Erich u. Hermann Barge: Geschichte der Buchdruckerkunst. Bd. 2. 1941"
1001226534,Aal,1965,Veteráni,,,,,,,,,,"in: Lambert: Dvacet tisíc zloděj°u [The twenty thousand Thieves, tschech.]"
1001230272,Aal,1728,Abhandlung von der Poesie überhaupt und der Ode insbesondere,,,,,,,,,,in: Oden der Deutschen Gesellschaft in Leipzig
1001233565,Aal,1794,60 Gedichte,,,,,,,,,,in: Kalender der Musen und Grazien für das Jahr 1796
1001270134,Aal,1937,Eine @erste Auswahl von Fachbüchern für den jungen Buchhändler,(Zugleich Grundstock für eine Fachbücherei),,,,,,,,,"in: Der deutsche Buchhandlungsgehilfe. Jg. 5. 1937, Nr. 2"
1001271688,Aal,1965,Tanker Derbent,,,,,,,,,,"in: Malyškin, Aleksandr Georgievič: Ljudi iz Zacholustʹja"
1001288084,Aal,1960,Die @ältesten Industriestätten von Zwönitz,,,,,,,,,,in: Kunze: Zwönitzer Frauen erstmalig in Produktionsstätten
1001288246,Aal,1960,Wie ich zum Papierhistoriker wurde,,,,,,,,,,in: Kunze: Zwönitzer Frauen erstmalig in Produktionsstätten
1001304861,Aal,1576,"Opus posthumus ... in orbe terrarum gentium Alexandrinorum, Graecorum, Agyptiorum ... atque Romanorum ... calendariorum cum anno Iulianum ...",,,,,,,,,,"in: Garcaeus, Johann: Astrologiae methodus ..."
1001347765,Aal,1701,"Electa,",,,,,,,,,,"in: Rosinus, Johannes: Antiquitatum Romanarum corpus absolutissimus"
1001358074,Aal,1919,Königliche Kundmachung anlässlich Schwedens Beitritt zur revidierten Konvention von Bern für den Schutz literarischer und künstlerischer Werke,,,,,,,,,,in: Gesetz betreffend das Recht an literarischen und musikalischen Werken
1001358406,Aal,1844,Kunstblatt,1844,,,,,,,,,in: Morgenblatt für gebildete Leser. 1844
1001359593,Aal,1956,Läsningen - denna oskyldiga last,,,,,,,,,,in: Last eller dygd
1001362462,Aal,1930,Das @isländische Preßrecht,,,,,,,,,,"in: Krabbe, Oluf H.: Das dänische Preßrecht"
1001386655,Aal,1517,"Brief an Erasmus von Rotterdam, 1517",,,,,,,,,,in: Froben Briefwechsel. Abschr. Kirchhoff. - Buchhandler u. Drucker in Strassbourg bis 1519
100141683X,Aal,1928,Dürerforschung und Wasserzeichen,,,,,,,,,,"in: Bockwitz, Hans: Alte Abbildungen zum Papierfärber-Handwerk"
1001419871,Aal,1934,Papiermühlen- und Wasserzeichenforschung,,,,,,,,,,in: Gutenberg-Jahrbuch. 1934. S. 9 - 27 4°
1001432479,Aal,1890,Darstellung der photomechanischen Druckverfahren,Gemeinfaßl,,,,,,,,,in: Die Buchgewerbliche Ausstellung im Dt. Buchhändlerhause zu Leipzig
1001442490,Aal,1578,"Graecolatina epistola, rectae fidei columna",,,,,,,,,,in: Manuel I. Comnenos: Legatio ad Armenios
1001442946,Aal,1883,Descriptive List of the bibliographical works,,,,,,,,,,"in: Green, Samuel Swett: Library-Aids"
1001443667,Aal,1778,Libri typis elegantissimis typographicis Velserianis ad insigne pinus ab anno 1594 usque ad annum 1614 impressi,,,,,,,,,,"in: Zapf, Georg Wilhelm: Annales typographiae Augustanae ab ... 1466 usque ad 1530"
1001447727,Aal,1840,"Ehrenrettung des sächsischen Merseburg, als des Druckorts ""Marsipolis"" und ""Merßborg"" von 1473 und mithin als der ältesten norddeutschen Druckstätte",,,,,,,,,,in: Schwetsche: Vorakademische Buchdruckergeschichte der Stadt Halle
100144776X,Aal,1840,"Supplementarisches zu Hain, Ebert, Schaab und Wetter",,,,,,,,,,in: Schwetschke: Vorakademische Buchdruckergeschichte der Stadt Halle
1001476409,Aal,1686,De ave Diomedea dissertatio,,,,,,,,,,"in: Redi, Francesco: Opusculorum pars ... [Teils.]"
1001476484,Aal,1878,Note sommaire sur les machines à composer et à imprimer,,,,,,,,,,"in: Hervé, A.: Imprimerie"
1001476883,Aal,1760,"Catalogus derjenigen Schriften, welche bey Ioh. Christian Langenheim zu haben sind",,,,,,,,,,in: Langenheim: Catalogi dissertationum theologico-exegetico-philologicarum venalium apud Ioan. Christian. Langenhemium. P. 2. Lipsiae 1750 - 70
1001480546,Aal,1928,"Liste des Editeurs de Paris avec leur adresse, leurs numéros de téléphone, de comptes de chèques postaux et lʹindication de leur spécialités",,,,,,,,,,"in: Bulletin de la Maison du Livre français. Année 9, 1928, No. 110"
1001481208,Aal,1879,Bibliografi,Sveriges äldre liturgiska Literatur,,,,,,,,,"in: Handlingar, Kungl. Bibliotekets. 1"
1001481631,Aal,1844,Literaturblatt,1844,,,,,,,,,in: Morgenblatt für gebildete Leser. 1844
1001489047,Aal,1740,"Der @Anfang, Wachsthum und Nutzen der Buchdrucker-Kunst",auf dem ... 3. Buchdrucker-Jubilaeo in gebundener Rede,,,,,,,,,in: Hilaria typographica Erfordiensia
1001498755,Aal,1912,Allgemeines über die technischen Kurse der Leipziger Akademie,,,,,,,,,,in: Die technischen Kurse der Vorschule der Königlichen Akademie für Graphische Künste und Buchgewerbe zu Leipzig. 1912. T. 1
1001509986,Aal,1679,Lob-Rede bey des ...,"[Leichenrede auf Christian Hofmann von Hofmannswaldau, Dichter, [gestorben] 18. April 1679]",,,,,,,,,"in: Hoffmann von Hofmannswaldau, Christian: Deutsche Ubersetzungen und Getichte [Teils.]"
1001519620,Aal,1561,La @Fontaine des amoureux de science,,,,,,,,,,"in: De la Transformation metallique, trois anciens tractez"
100151971X,Aal,1961,Het @Werk van de Blaeuʹs,,,,,,,,,,"in: Blaeu, In Officina Ioannis"
1001519760,Aal,1925,Land- und Fortwirtschaft,,,,,,,,,,"in: Biologie, Allgemeine, Botanik, Zoologie"
100152828X,Aal,1551,De morte Claudij Cesaris cum scholijs Beati Rhenani,,,,,,,,,,"in: Erasmus Roterodamus, Desiderius: Moriae encomicum, id est, stulticiae laudativ, ludicra declamatione tractata"
1001539044,Aal,1890,Allgemeine Beschreibung des Waldbesitzes der Gesellschaft in Prein und Rax nebst historischen Daten u. einer Übersichtskarte,,,,,,,,,,in: Aktiengesellschaft der K. K. priv. Papierfabrik Schlöglmühl auf der allgemeinen land- u. forstwirthschaftlichen Ausstellung. Wien 1890
